"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Area","Singular_max","Overall_max"
1934,35.0999984741211,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1935,34.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1936,17.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1937,12.1999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1938,34.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1939,22.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1940,22.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1941,19.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1942,23.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1943,19.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1944,66,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1945,22.1000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1946,27.7000007629395,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1947,22.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1948,30.7000007629395,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1949,29.7000007629395,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1950,29.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1951,17,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1952,25.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1953,30.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1954,14.6999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1955,25.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1956,23.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1957,21.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1958,20.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1959,31.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1960,15.6999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1961,26.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1962,24.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1963,15.1999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1964,26.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1965,37.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1966,28.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1967,27.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1968,21.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1969,35.0999984741211,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1970,39.4000015258789,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1971,22.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1972,19.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1973,23.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1974,24.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1975,22.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1976,31.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1977,36.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1978,17.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1979,26.7000007629395,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1980,25.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1981,31.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1982,19.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1983,25.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1984,22.1000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1985,29.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1986,22.1000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1987,15,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1988,24.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1989,23.1000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1990,14.6999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1991,26.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1992,25.8999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1993,19.6000003814697,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1994,15.1999998092651,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1995,38.4000015258789,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1996,27.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1997,17.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1998,20.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1999,23.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2000,20.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2001,16,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2002,17.2999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2003,21.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2004,32,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2005,20.7999992370605,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2006,23.3999996185303,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
2007,18.5,44.2436,-112.2006,83,1661.2,24.9734937713807,49.3105100255108,"North America",66,252
1883,25.7000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1884,52.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1885,40.5999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1886,38.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1887,24.3999996185303,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1888,53.5999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1889,16.2999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1890,38.9000015258789,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1891,56.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1892,49.5,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1893,51.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1894,38.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1895,35.2999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1896,28.3999996185303,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1897,27.7000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1898,31.5,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1899,50.2999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
